name,lat,lng,evalu,review_cnt
ホテル日本橋サイボー,35.6855631,139.7802826,4.4,1619
ベルケンホテル・神田,35.6947934,139.7678636,4.3,240
ダイワロイネットホテル銀座 PREMIER 2026年4月リニューアル,35.6733485,139.7691715,3.9,719
イビススタイルズ東京銀座East,35.67363,139.7735417,4.4,20
ホテルビスタ東京［築地］,35.6667514,139.7683874,4.3,7
ホテルサンルート銀座,35.6735533,139.7698028,4.0,562
銀座キャピタルホテル　萌木　（はとバス直営）,35.6691969,139.7742556,4.1,281
アパホテル〈銀座京橋南〉（旧：アパホテル〈銀座 宝町〉）,35.6742758,139.7716887,3.9,337
ヴィラフォンテーヌ東京日本橋箱崎｜住友不動産,35.6804303,139.786038,4.2,715
コンフォートホテル東京神田,35.6935692,139.7743707,4.1,2133
スマイルホテル日本橋三越前,35.6862297,139.7760688,3.8,46
相鉄フレッサイン銀座三丁目,35.6719028,139.7677259,4.2,99
ホテルマイステイズ神田,35.6914731,139.7752356,4.1,17
ホテル庵築地,35.6677009,139.7729559,4.0,24
オリンピックイン神田,35.6934,139.7740312,3.9,2634
ＢＡＮ ＨＯＴＥＬ 築地銀座,35.665856,139.7715664,4.2,577
ＪＲ西日本グループ　ヴィアインプライム日本橋人形町,35.685108,139.7801177,4.3,389
ホテルサードニクス東京,35.6766512,139.7786902,4.0,3944
Ｔａｂｉｓｔ　銀座,35.6661849,139.7660823,3.9,34
ナインアワーズウーマン神田,35.6931434,139.7719084,3.9,304
ホテル銀座ダイエー,35.6709348,139.7693318,4.0,376
東横ＩＮＮ日本橋三越前A4,35.687052,139.7785604,4.2,86
ヴィラフォンテーヌ東京大手町｜住友不動産,35.6905519,139.7669058,3.8,702
相鉄フレッサイン東京神田,35.6916536,139.7740572,3.7,233
ホテルリブマックス東銀座,35.6685193,139.7713253,3.7,507
東京ビュック,35.6588402,139.7785187,3.9,3020
東横ＩＮＮ東京大手町,35.6903505,139.7668911,4.2,13
ネストホテル東京八重洲,35.6791096,139.7758451,3.6,12
ホテル堀留ヴィラ,35.6888902,139.7798296,3.6,2249
ホテルリブマックス茅場町,35.6777723,139.7785298,3.6,7
Minn 日本橋水天宮前,35.6893438,139.7836759,3.8,5
ヴィラフォンテーヌ東京茅場町｜住友不動産,35.6779795,139.7778646,3.4,1795
ＥＬＥｈｏｔｅｌＧｉｎｚａＥａｓｔ,35.6723087,139.7751121,3.5,67
ホテル奉仕会館,35.692625,139.7834722,3.8,470
ホテルリブマックス東京馬喰町,35.693262,139.781827,3.4,279
ホテルリブマックス東京神田駅前,35.6914832,139.7733034,3.2,177
相鉄フレッサイン日本橋人形町,35.6833539,139.782382,3.2,310
ナインアワーズ人形町,35.6867291,139.7812417,3.2,41
ホテルリブマックス東京新富町,35.6722972,139.7735332,3.0,238
Tokyo Guesthouse HIVE,35.692442,139.7815367,3.0,10
５４ＪＯＵＲＮＥＹ東京大手町ホステル,35.6898547,139.7664019,1.7,15
お茶の水　ホテルジュラク,35.698287,139.7676969,4.4,4272
ホテルメトロポリタンエドモント,35.7008059,139.7490517,4.6,4406
リッチモンドホテル東京水道橋,35.7061506,139.7545447,4.5,894
東京ドームホテル,35.7036666,139.7533928,4.4,231
ホテル椿山荘東京,35.7117779,139.7257143,4.8,1065
春日の湯　ドーミーイン後楽園,35.7102235,139.7535211,4.5,171
京王プレッソイン東京九段下,35.6968985,139.7518957,4.1,1692
ＪＲ東日本ホテルメッツ プレミア 秋葉原,35.6981366,139.7726442,4.5,42
アパホテル〈神田神保町駅東〉,35.6946228,139.7622114,4.2,587
ホテルモントレ半蔵門,35.686602,139.74212,4.2,3158
アパホテル〈御茶ノ水駅北〉,35.7031665,139.7672451,4.3,477
ダイヤモンドホテル,35.6853805,139.7424901,3.9,3681
アパホテル〈飯田橋駅前〉,35.7010193,139.7478194,4.2,43
すえひろの湯　ドーミーイン秋葉原,35.6996473,139.7713703,4.4,505
お茶の水イン〈全館禁煙〉,35.7015279,139.7662808,4.2,2090
アパホテル〈東京九段下〉,35.6982139,139.7494962,4.2,566
アパホテル〈水道橋駅前〉,35.7023126,139.7530095,4.4,135
ホテル東京ガーデンパレス,35.702759,139.7648401,4.5,749
ｓｅｑｕｅｎｃｅ ＳＵＩＤＯＢＡＳＨＩ,35.7023637,139.7525656,4.7,244
ホテルグランドヒル市ヶ谷,35.6917326,139.7331081,4.3,1718
東急ステイ水道橋,35.70088,139.7565992,4.6,2111
ホテルマイステイズ飯田橋,35.7054316,139.7423232,4.3,47
ファーストキャビン市ヶ谷,35.6922306,139.7346298,4.2,343
ホテルマイステイズ御茶ノ水コンファレンスセンター,35.697375,139.7684414,4.3,2353
後楽ガーデンホテル,35.7040665,139.7481857,4.2,22
ホテル京阪東京四谷,35.6868205,139.7274361,4.4,180
アパホテル〈秋葉原末広町駅前〉(電気街),35.6984707,139.7727871,4.5,48
ヴィラフォンテーヌ東京九段下｜住友不動産,35.6977733,139.7545531,4.5,1288
カプセルランド湯島,35.707666,139.7701404,4.0,687
お茶の水ホテル　昇龍館,35.6956325,139.762859,4.8,686
お茶の水　ホテルジュラク,35.698287,139.7676969,4.4,4272
ホテルメトロポリタンエドモント,35.7008059,139.7490517,4.6,4406
リッチモンドホテル東京水道橋,35.7061506,139.7545447,4.5,894
東京ドームホテル,35.7036666,139.7533928,4.4,231
